etext_id,title
82,"Ivanhoe by Sir Walter Scott"
271,"Black Beauty by Anna Sewell"
796,"La Chartreuse De Parme by Stendhal"
103,"Around the World in 80 Days by Jules Verne"
996,"Don Quixote by Miguel de Cervantes Saavedra"
1342,"Pride and Prejudice by Jane Austen"
2383,"The Canterbury Tales, and Other Poems by Chaucer"
2021,"Nostromo, a Tale of the Seaboard by Joseph Conrad"
8800,"The Divine Comedy by Dante, Illustrated"
1400,"Great Expectations by Charles Dickens"
2638,"The Idiot by Fyodor Dostoyevsky"
8117,"The Possessed (The Devils) by Fyodor Dostoyevsky"
768,"Wuthering Heights by Emily Brontë"
145,"Middlemarch by George Eliot"
31431,"Old-Time Stories by Charles Perrault"
14155,"Madame Bovary by Gustave Flaubert"
34828,"Sentimental Education Vol 1 by Gustave Flaubert"
27537,"Education sentimentale. English by Flaubert"
11000,"An Old Babylonian Version of the Gilgamesh Epic"
1081,"Mertvye dushi. English by Gogol"
8387,"Hunger by Knut Hamsun"
15492,"A Doll's House by Henrik Ibsen"
16659,"Translations of Shakuntala and Other Works"
7849,"The Trial by Franz Kafka"
14591,"Faust by Johann Wolfgang von Goethe"
8018,"The Bible, King James version, Book 18: Job"
21000,"Faust by Johann Wolfgang von Goethe"
217,"Sons and Lovers by D. H.  Lawrence"
3600,"The Essays of Montaigne — Complete by Montaigne"
19264,"Japanese Literature"
21765,"The Metamorphoses of Ovid by Ovid"
1200,"Gargantua and Pantagruel by François Rabelais"
1524,"Hamlet by William Shakespeare"
1532,"King Lear by William Shakespeare"
1531,"Othello by William Shakespeare"
12058,"The Mahabharata of Krishna-Dwaipayana Vyasa Transl"
34811,"Buddenbrooks by Thomas Mann"
3435,"Arabian nights. English by Anonymous"
3436,"Arabian nights. English by Anonymous"
76,"Adventures of Huckleberry Finn by Mark Twain"
10000,"The Magna Carta by Anonymous"
13268,"Hindu literature : Comprising The Book of good cou"
31,"Oedipus Trilogy by Sophocles"
2600,"War and Peace by graf Leo Tolstoy"
28233,"Philosophiae Naturalis Principia Mathematica"
3420,"Vindication of the Rights of Woman"
14986,"Experimental Researches in Electricity, Volume 1"
2270,"Shakespeare's First Folio by William Shakespeare"
14885,"Red Pottage by Mary Cholmondeley"
14645,"Unleavened Bread by Robert Grant"
2799,"Eben Holden, a tale of the north country"
5373,"Richard Carvel — Complete by Winston Churchill"
1906,"Erewhon by Samuel Butler"
928,"Alice's Adventures in Wonderland by Lewis Carroll"
792,"Wieland: or, the Transformation, an American Tale"
3300,"An Inquiry into the Nature and Causes of the Wealt"
3155,"She by Henry Rider Haggard"
1951,"The Coming Race by Lytton"
5388,"The Crisis — Volume 01 by Winston Churchill"
5389,"The Crisis — Volume 02 by Winston Churchill"
1298,"The Virginian, a Horseman of the Plains by Wister"
6249,"The Right of Way — Complete by Gilbert Parker"
10959,"The Visits of Elizabeth by Elinor Glyn"
14813,"The Life and Death of Richard Yea-and-Nay"
12440,"D'Ri and I by Irving Bacheller"
4377,"Mrs. Wiggs of the Cabbage Patch by Rice"
14513,"Audrey by Mary Johnston"
2852,"The Hound of the Baskervilles by Doyle"
3428,"The Two Vanrevels by Booth Tarkington"
5970,"Lovey Mary by Alice Caldwell Hegan Rice"
14682,"My Friend Prospero by Henry Harland"
14960,"The Silent Places by Stewart Edward White"
26240,"The Clansman by Thomas Dixon"
14740,"The Princess Passes by Williamson and Williamson"
7492,"The Fighting Chance by Robert W.  Chambers"
12441,"The House of a Thousand Candles by Nicholson"
5971,"Jane Cable by George Barr McCutcheon"
6315,"The Awakening of Helena Richie by Deland"
5846,"The Adventures of Poor Mrs. Quack by Burgess"
20589,"Edgar Allan Poe by Hanns Heinz Ewers"
13913,"The Port of Missing Men by Meredith Nicholson"
8741,"The Brass Bowl by Louis Joseph Vance"
14852,"The Younger Set by Robert W.  Chambers"
4790,"Half a Rogue by Harold MacGrath"
3684,"Mr. Crewe's Career — Complete by Churchill"
5122,"The Trail of the Lonesome Pine by John Fox"
4516,"Peter: a novel of which he is not the hero"
14697,"Lewis Rand by Mary Johnston"
9779,"The Black Bag by Louis Joseph Vance"
14263,"Katrine by Elinor Macartney Lane"
14284,"Truxton King by George Barr McCutcheon"
14355,"54-40 or Fight by Emerson Hough"
14054,"Max by Katherine Cecil Thurston"
3828,"Simon the Jester by William John Locke"
5257,"The Broad Highway by Jeffery Farnol"
5129,"The Prodigal Judge by Vaughan Kester"
6997,"The Winning of Barbara Worth by Harold Bell Wright"
14303,"Queed by Henry Sydnor Harrison"
13813,"The Common Law by Robert W.  Chambers"
14394,"The Street Called Straight by Basil King"
6105,"Their Yesterdays by Harold Bell Wright"
15817,"The Melting of Molly by Maria Thompson Daviess"
6379,"The Net by Rex Ellingwood Beach"
30115,"Tante by Anne Douglas Sedgwick"
15221,"A New Conscience and an Ancient Evil by Addams"
15063,"Your United States by Arnold Bennett"
26163,"Evolution créatrice. English by Henri Bergson"
1440,"Woman and Labour by Olive Schreiner"
5364,"The Inside of the Cup — Complete by Churchill"
13985,"V. V.'s Eyes by Henry Sydnor Harrison"
9879,"The Amateur Gentleman by Jeffery Farnol"
14597,"The Woman Thou Gavest Me by Sir Hall Caine"
33963,"The Valiants of Virginia by Hallie Erminie Rives"
2514,"T. Tembarom by Frances Hodgson Burnett"
4379,"The Fortunate Youth by William John Locke"
6353,"The Prince of Graustark by George Barr McCutcheon"
1098,"The Turmoil, a novel by Booth Tarkington"
9489,"Michael O'Halloran by Gene Stratton-Porter"
9931,"K by Mary Roberts Rinehart"
1027,"The Lone Star Ranger, a romance of the border"
34297,"Angela's Business by Henry Sydnor Harrison"
1611,"Seventeen by Booth Tarkington"
14367,"When A Man's A Man by Harold Bell Wright"
14060,"Mr. Britling Sees It Through by H. G.  Wells"
14571,"Life and Gabriella by Glasgow"
15384,"The Real Adventure by Henry Kitchell Webster"
4684,"The U. P. Trail by Zane Grey"
4603,"In the Wilderness by Robert Smythe Hichens"
14396,"His Family by Ernest Poole"
1046,"God the Invisible King by H. G.  Wells"
12877,"The First Hundred Thousand by Ian Hay"
12185,"My Home in the Field of Honor by Huard"
14823,"A Student in Arms by Donald Hankey"
13993,"Dere Mable by Edward Streeter"
12418,"The Land of Deepening Shadow by D. Thomas Curtin"
13883,"The Tree of Heaven by May Sinclair"
1590,"The Amazing Interlude by Mary Roberts Rinehart"
5962,"Oh, Money! Money! by Eleanor H.  Porter"
3249,"The Major by Ralph Connor"
3193,"Mark Twain's Letters — Volume 1 (1835-1866)"
3194,"Mark Twain's Letters — Volume 2 (1867-1875)"
3195,"Mark Twain's Letters — Volume 3 (1876-1885)"
3197,"Mark Twain's Letters — Volume 5 (1901-1906)"
7515,"The Glory of the Trenches by Coningsby Dawson"
1083,"The Arrow of Gold by Joseph Conrad"
10201,"The Desert of Wheat by Zane Grey"
5874,"Dawn by Eleanor H.  Porter"
2044,"The Education of Henry Adams by Henry Adams"
17237,"A Man for the Ages by Irving Bacheller"
3263,"The Portygee by Joseph Crosby Lincoln"
5815,"The Great Impersonation by E. Phillips  Oppenheim"
13763,"The Lamp in the Desert by Ethel M.  Dell"
3317,"Now It Can Be Told by Philip Gibbs"
6467,"Letters to His Children by Theodore Roosevelt"
2386,"Theodore Roosevelt; an Intimate Biography"
14384,"White Shadows in the South Seas by O'Brien"
13937,"The Mysterious Rider by Zane Grey"
541,"The Age of Innocence by Edith Wharton"
29407,"The Valley of Silent Men by James Oliver Curwood"
7031,"The Sheik by E. M.  Hull"
3791,"The Reign of Law; a tale of the Kentucky hemp fiel"
17498,"When Knighthood Was in Flower by Charles Major"
3070,"The Hound of the Baskervilles by Doyle"
904,"Her Father's Daughter by Gene Stratton-Porter"
4321,"Margot Asquith, an Autobiography - Two Volumes in"
14145,"If Winter Comes by A. S. M.  Hutchinson"
6491,"The Head of the House of Coombe by Burnett"
14579,"Simon Called Peter by Robert Keable"
1601,"The Breaking Point by Mary Roberts Rinehart"
6415,"This Freedom by A. S. M.  Hutchinson"
14980,"Outwitting Our Nerves by Jackson and Salisbury"
1265,"Queen Victoria by Lytton Strachey"
25542,"Black Oxen by Gertrude Franklin Horn Atherton"
14314,"Etiquette by Emily Post"
23784,"The History of Sir Richard Calmady by Lucas Malet"
